BondID,ISIN,Issuer,Sector,CreditRating,Currency,FaceValue,CouponRate,CouponFrequency,BondType,IssueDate,MaturityDate,ValuationDate,YearsToMaturity,OriginalMaturityYears,YieldToMaturity,CleanPrice,AccruedInterest,DirtyPrice,MacaulayDuration,ModifiedDuration,Convexity,DV01_Per100Face,EffectiveDuration,EffectiveConvexity,SpreadOverBenchmark_bps,OAS_bps,ZSpread_bps,KeyRateBucket,Quantity,MarketValue_LocalCcy,MarketValue_INR,PortfolioWeight,IsCallable,CallDate,IsPutable,IsFloatingRate,BenchmarkIndex,PriceChange_Up50bps,PriceChange_Dn50bps,PriceChange_Up100bps,PriceChange_Dn100bps,PriceChange_Up200bps,PriceChange_Dn200bps,Recalc_CleanPrice,Recalc_MacaulayDuration,Recalc_ModifiedDuration,Recalc_Convexity,Recalc_DV01
ZTFI-0011,IN1051834738,Government of India,Government,SOV,INR,100,0.0538,2,Fixed,2015-12-26,2053-12-16,2024-10-31,29.1253,38,0.0676,82.5548,1.0861,82.8109,13.6417,13.1957,272.9803,0.1089,13.1957,272.9803,0,0,-2,20Y+,50000,41277.4,41277.4,0.001288,False,,False,False,IN10YT,5.7285,-5.1651,12.0205,-9.7669,26.2945,-17.2802,82.55482328150246,13.641670032118625,13.195656831223278,1091.9210695499014,0.10893651177849886
ZTFI-0012,IN6566701065,Government of India,Government,SOV,INR,100,0.0728,2,Fixed,2022-08-06,2030-08-04,2024-10-31,5.7577,8,0.067,102.632,0.2551,102.9659,4.6424,4.4919,24.5493,0.0461,4.4919,24.5493,0,0,9,5-7Y,50000,51316.0,51316.0,0.001601,False,,False,False,IN10YT,2.3366,-2.2736,4.7361,-4.4841,9.7242,-8.7163,102.63198209505425,4.6423662423258865,4.491887994509807,98.19737661206102,0.046101136822551965
ZTFI-0013,IN1781080132,Government of India,Government,SOV,INR,100,0.0616,2,Fixed,2021-03-28,2053-03-20,2024-10-31,28.3833,32,0.0692,90.6521,0.2535,90.6554,13.0009,12.5661,248.1949,0.1139,12.5661,248.1949,0,0,7,20Y+,5000,4532.6,4532.6,0.000141,False,,False,False,IN10YT,5.977,-5.4145,12.5164,-10.2665,27.2827,-18.283,90.65208202044357,13.000915993034113,12.566127965430228,992.7797716855208,0.11391456630015707
ZTFI-0014,IN7468723430,Government of India,Government,SOV,INR,100,0.0665,2,Fixed,2023-06-14,2059-06-05,2024-10-31,34.5927,36,0.0683,97.6243,0.9712,98.4603,13.7043,13.2518,292.4174,0.1294,13.2518,292.4174,0,0,0,20Y+,5000,4881.22,4881.22,0.000152,False,,False,False,IN10YT,6.8253,-6.1117,14.3643,-11.5096,31.5834,-20.1645,97.62433736606823,13.704324731504512,13.251776561915111,1169.6695833940532,0.12936959057801567
ZTFI-0015,IN8121913619,Government of India,Government,SOV,INR,100,0.057,2,Fixed,2023-10-05,2063-09-25,2024-10-31,38.8994,40,0.0659,87.6074,0.8317,88.3524,14.6894,14.2208,343.076,0.1246,14.2208,343.076,0,0,3,20Y+,200000,175214.8,175214.8,0.005465,False,,False,False,IN10YT,6.6049,-5.8535,13.9613,-10.9557,30.9281,-18.9057,87.60744120445119,14.689350017113709,14.220775465524671,1372.3038954733981,0.12458457504776548
ZTFI-0016,IN5346247510,Government of India,Government,SOV,INR,100,0.0631,2,Fixed,2009-11-25,2047-11-16,2024-10-31,23.0418,38,0.0658,96.8223,0.798,97.0313,12.26,11.8695,207.9245,0.1149,11.8695,207.9245,0,0,6,20Y+,10000,9682.23,9682.23,0.000302,False,,False,False,IN10YT,5.9978,-5.4945,12.4989,-10.4857,27.011,-18.9583,96.82232849608855,12.260029740509673,11.869522451844006,831.6978920125041,0.11492348019241386
ZTFI-0017,IN3542784980,Government of India,Government,SOV,INR,100,0.069,2,Fixed,2019-12-31,2056-12-21,2024-10-31,32.1396,37,0.072,96.2666,0.4562,97.8014,12.9786,12.5276,259.671,0.1206,12.5276,259.671,0,0,-1,20Y+,10000,9626.66,9626.66,0.0003,False,,False,False,IN10YT,6.3424,-5.7175,13.3098,-10.81,29.1193,-19.1203,96.26660911266575,12.978641395576101,12.527646134725966,1038.6839126432403,0.12059940135534625
ZTFI-0018,IN4935348740,Government of India,Government,SOV,INR,100,0.0526,2,Fixed,2012-04-26,2041-04-19,2024-10-31,16.4654,29,0.0655,87.328,1.014,88.1658,10.6158,10.2792,140.6143,0.0898,10.2792,140.6143,0,0,3,15-20Y,20000,17465.6,17465.6,0.000545,False,,False,False,IN10YT,4.6418,-4.3348,9.5906,-8.3626,20.4092,-15.4973,87.32800756800219,10.615806537895104,10.27916391953048,562.4570870525017,0.08976589045574929
ZTFI-0019,IN7868011280,Government of India,Government,SOV,INR,100,0.0738,2,Fixed,2016-04-30,2055-04-21,2024-10-31,30.4695,39,0.0695,105.3902,0.5687,107.0488,12.8423,12.411,248.7361,0.1308,12.411,248.7361,0,0,-4,20Y+,5000,5269.51,5269.51,0.000164,False,,False,False,IN10YT,6.8677,-6.2123,14.3907,-11.7693,31.4028,-20.9171,105.39023527612427,12.842287650722973,12.41100521935054,994.9442147860582,0.13079987600805598
ZTFI-0020,IN3315869232,Government of India,Government,SOV,INR,100,0.0778,2,Fixed,2013-10-06,2026-10-03,2024-10-31,1.922,13,0.0653,101.7589,1.7981,103.2806,1.4451,1.3994,2.6761,0.0142,1.3994,2.6761,0,0,8,1-2Y,200000,203517.8,203517.8,0.006348,False,,False,False,IN10YT,0.7154,-0.7086,1.4376,-1.4104,2.9025,-2.7936,101.75891312997717,1.4450568148739291,1.3993674670739642,10.704316735433062,0.014239811251889571
ZTFI-0021,IN3421607337,Government of India,Government,SOV,INR,100,0.06,2,Fixed,2021-02-07,2037-02-03,2024-10-31,12.2601,16,0.0719,90.5399,0.4924,91.8364,8.5303,8.2343,87.5277,0.0746,8.2343,87.5277,0,0,3,10-15Y,50000,45269.95,45269.95,0.001412,False,,False,False,IN10YT,3.8267,-3.6286,7.8516,-7.0591,16.4956,-13.3257,90.53990053206546,8.530275631847694,8.234254193588198,350.11089741000734,0.07455285556432183
ZTFI-0022,IN8685014294,Government of India,Government,SOV,INR,100,0.0511,2,Fixed,2018-01-14,2058-01-04,2024-10-31,33.1773,40,0.0726,73.2005,0.5575,74.4579,13.6896,13.2101,289.5883,0.0967,13.2101,289.5883,0,0,-2,20Y+,20000,14640.1,14640.1,0.000457,False,,False,False,IN10YT,5.0999,-4.57,10.7298,-8.61,23.5793,-15.1001,73.20054894009185,13.689599709452235,13.210074022437745,1158.353284540577,0.09669846699816902
ZTFI-0023,IN9340608835,Government of India,Government,SOV,INR,100,0.0623,2,Fixed,2015-04-22,2038-04-16,2024-10-31,13.4565,23,0.072,91.8992,1.121,92.367,8.9062,8.5967,97.1318,0.079,8.5967,97.1318,0,0,4,10-15Y,5000,4594.96,4594.96,0.000143,False,,False,False,IN10YT,4.0617,-3.8386,8.3466,-7.454,17.5859,-14.0153,91.8991543076812,8.906169572187409,8.596688776242672,388.5271900325999,0.07900284283830364
ZTFI-0024,IN6564823662,Government of India,Government,SOV,INR,100,0.0675,2,Fixed,2018-06-14,2039-06-09,2024-10-31,14.6037,21,0.0738,94.4482,0.4842,95.1736,9.307,8.9758,109.3448,0.0848,8.9758,109.3448,0,0,5,10-15Y,20000,18889.64,18889.64,0.000589,False,,False,False,IN10YT,4.3678,-4.1096,8.9939,-7.9611,19.0204,-14.8895,94.4482118283569,9.307005398706593,8.975798436403311,437.37907886093467,0.08477481120500546
ZTFI-0025,IN7738721489,Government of India,Government,SOV,INR,100,0.0596,2,Fixed,2014-08-02,2031-07-29,2024-10-31,6.7406,17,0.0674,95.9488,0.2196,96.0177,5.4575,5.2796,33.6102,0.0507,5.2796,33.6102,0,0,10,5-7Y,10000,9594.88,9594.88,0.000299,False,,False,False,IN10YT,2.5732,-2.4925,5.227,-4.9045,10.7764,-9.4865,95.94882628361287,5.457516416880846,5.279594095850678,134.4409900384254,0.05065708567507649
ZTFI-0026,IN1769367632,Government of India,Government,SOV,INR,100,0.0687,2,Fixed,2023-06-11,2025-06-10,2024-10-31,0.6078,2,0.074,99.7445,1.3369,100.1204,0.5,0.4822,0.465,0.0048,0.4822,0.465,0,0,9,0-1Y,5000,4987.23,4987.23,0.000156,False,,False,False,IN10YT,0.2411,-0.2399,0.4833,-0.4786,0.9712,-0.9527,99.74445515911283,0.5,0.4821600771456124,1.859826719944503,0.004809279419436492
ZTFI-0027,IN8317278895,Government of India,Government,SOV,INR,100,0.0771,2,Fixed,2015-06-17,2045-06-09,2024-10-31,20.6051,30,0.0726,104.7616,0.8225,106.5096,10.8348,10.4553,161.9512,0.1095,10.4553,161.9512,0,0,9,20Y+,100000,104761.6,104761.6,0.003268,False,,False,False,IN10YT,5.6886,-5.2645,11.8015,-10.1048,25.2995,-18.513,104.76163262777139,10.834753663472535,10.455228855999744,647.8046444965158,0.10953068444515197
ZTFI-0028,IN7743487347,Government of India,Government,SOV,INR,100,0.0522,2,Fixed,2020-12-08,2040-12-03,2024-10-31,16.0903,20,0.0685,84.3043,0.1052,84.5011,10.5395,10.1905,138.8687,0.0859,10.1905,138.8687,0,0,7,15-20Y,100000,84304.3,84304.3,0.00263,False,,False,False,IN10YT,4.4419,-4.1492,9.1764,-8.0057,19.5235,-14.8406,84.30428757373296,10.539482711076351,10.190459474088808,555.4746547305107,0.08590994260120545
ZTFI-0029,IN2316658760,Government of India,Government,SOV,INR,100,0.0559,2,Fixed,2018-09-10,2046-09-03,2024-10-31,21.8398,28,0.0731,81.4967,0.0273,82.7274,11.7892,11.3735,189.5821,0.0927,11.3735,189.5821,0,0,7,20Y+,200000,162993.4,162993.4,0.005084,False,,False,False,IN10YT,4.8276,-4.4414,10.0415,-8.4965,21.6281,-15.448,81.49667594508705,11.78919241158909,11.3734913044128,758.328535376094,0.09269017351999954
ZTFI-0030,IN0546688937,Government of India,Government,SOV,INR,100,0.0563,2,Fixed,2017-04-19,2046-04-12,2024-10-31,21.4456,29,0.0691,85.9242,0.9559,86.4933,11.8749,11.4783,189.8718,0.0986,11.4783,189.8718,0,0,0,20Y+,200000,171848.4,171848.4,0.00536,False,,False,False,IN10YT,5.1353,-4.7274,10.6784,-9.0469,22.9882,-16.4624,85.92417043577315,11.874851103953313,11.478276645839555,759.4870325772606,0.09862613988260725
ZTFI-0031,IN2980699016,Government of India,Government,SOV,INR,100,0.0539,2,Fixed,2021-09-13,2052-09-05,2024-10-31,27.8467,31,0.0677,82.8828,0.2852,83.3232,13.4021,12.9633,259.4126,0.1074,12.9633,259.4126,0,0,7,20Y+,20000,16576.56,16576.56,0.000517,False,,False,False,IN10YT,5.6409,-5.1034,11.8194,-9.6693,25.7889,-17.1885,82.88277985757125,13.402119479461762,12.963311388945943,1037.6503913831436,0.10744352840751528
ZTFI-0032,IN6417080531,Government of India,Government,SOV,INR,100,0.0723,2,Fixed,2022-01-27,2026-01-26,2024-10-31,1.2375,4,0.075,99.7445,1.5169,100.8676,0.9825,0.947,1.3611,0.0094,0.947,1.3611,0,0,2,1-2Y,10000,9974.45,9974.45,0.000311,False,,False,False,IN10YT,0.474,-0.4706,0.9514,-0.9378,1.9163,-1.862,99.74446218609374,0.9825336802012283,0.9470204146517862,5.44429154105137,0.00944600419386939
ZTFI-0033,IN7193745299,Government of India,Government,SOV,INR,100,0.0775,2,Fixed,2018-02-12,2027-02-10,2024-10-31,2.2779,9,0.0667,101.9913,0.2094,102.0411,1.8921,1.831,4.3464,0.0187,1.831,4.3464,0,0,4,2-3Y,20000,20398.26,20398.26,0.000636,False,,False,False,IN10YT,0.9393,-0.9282,1.8896,-1.8453,3.8236,-3.6463,101.99125657443471,1.892052287350312,1.8309888105194871,17.385642432122676,0.018674484955861204
ZTFI-0034,IN6631931491,Government of India,Government,SOV,INR,100,0.0727,2,Fixed,2012-12-29,2050-12-20,2024-10-31,26.1355,38,0.0686,104.9419,1.2023,105.0672,12.3334,11.9244,220.3899,0.1251,11.9244,220.3899,0,0,5,20Y+,50000,52470.95,52470.95,0.001637,False,,False,False,IN10YT,6.5459,-5.9677,13.6701,-11.3573,29.653,-20.4018,104.94191441847083,12.333442123397914,11.924434035964337,881.5595156873873,0.125137293609087
ZTFI-0035,IN6716572628,Government of India,Government,SOV,INR,100,0.0775,2,Fixed,2015-05-30,2034-05-25,2024-10-31,9.5633,19,0.0747,101.8808,0.9368,102.7247,6.9218,6.6726,57.1273,0.068,6.6726,57.1273,0,0,3,7-10Y,500000,509404.0,509404.0,0.015889,False,,False,False,IN10YT,3.4718,-3.3263,7.0891,-6.5071,14.7602,-12.4322,101.8808442499195,6.9217838798511515,6.6725636283329175,228.5090172604445,0.06798064157658638
ZTFI-0036,IN3147379965,Government of India,Government,SOV,INR,100,0.0508,2,Fixed,2021-09-13,2043-09-08,2024-10-31,18.8528,22,0.0672,82.7803,0.3281,83.1355,11.5164,11.142,170.708,0.0922,11.142,170.708,0,0,3,15-20Y,500000,413901.5,413901.5,0.01291,False,,False,False,IN10YT,4.7883,-4.435,9.9299,-8.5168,21.273,-15.6205,82.78032542260885,11.51636704056901,11.14199597578271,682.8320510814384,0.09223380527326909
ZTFI-0037,IN0831367837,Government of India,Government,SOV,INR,100,0.0684,2,Fixed,2017-11-03,2050-10-26,2024-10-31,25.9849,33,0.0652,103.9522,0.3789,105.1352,12.636,12.2371,227.7411,0.1272,12.2371,227.7411,0,0,4,20Y+,20000,20790.44,20790.44,0.000648,False,,False,False,IN10YT,6.6563,-6.0644,13.9044,-11.537,30.1763,-20.7066,103.95218162208317,12.635994908116555,12.237066538946886,910.9644963691352,0.12720697633781233
ZTFI-0038,IN9578856855,Government of India,Government,SOV,INR,100,0.07,2,Fixed,2019-11-22,2038-11-17,2024-10-31,14.0452,19,0.0674,102.3326,0.337,102.5418,9.2034,8.9034,106.108,0.0911,8.9034,106.108,0,0,0,10-15Y,200000,204665.2,204665.2,0.006384,False,,False,False,IN10YT,4.6913,-4.4198,9.654,-8.5682,20.3938,-16.0505,102.33257676580428,9.203355523969678,8.903313847315157,424.43197949229835,0.09110990477504265
ZTFI-0039,IN3749894134,Government of India,Government,SOV,INR,100,0.0565,2,Fixed,2020-09-16,2033-09-13,2024-10-31,8.8679,13,0.0724,90.0369,0.3875,91.4131,6.7604,6.5242,52.2205,0.0587,6.5242,52.2205,0,0,4,7-10Y,10000,9003.69,9003.69,0.000281,False,,False,False,IN10YT,2.9959,-2.8783,6.1093,-5.6391,12.6887,-10.808,90.03691453326601,6.76038519306459,6.524208833299161,208.8818482046478,0.058741963312093574
ZTFI-0040,IN2710947775,Government of India,Government,SOV,INR,100,0.0553,2,Fixed,2023-04-29,2028-04-27,2024-10-31,3.488,5,0.074,95.0504,1.1366,95.6044,2.7994,2.6995,8.8986,0.0257,2.6995,8.8986,0,0,-3,3-5Y,5000,4752.52,4752.52,0.000148,False,,False,False,IN10YT,1.2935,-1.2724,2.6082,-2.5236,5.3009,-4.9626,95.05036816265974,2.7993554523746327,2.6994748817498873,35.59430015368403,0.025658608135617912
ZTFI-0041,IN0229413186,Government of India,Government,SOV,INR,100,0.0673,2,Fixed,2013-02-04,2029-01-31,2024-10-31,4.2519,16,0.069,99.4145,0.5003,100.4047,3.5712,3.4521,14.4356,0.0343,3.4521,14.4356,0,0,8,3-5Y,50000,49707.25,49707.25,0.00155,False,,False,False,IN10YT,1.7339,-1.698,3.5036,-3.3601,7.1508,-6.5768,99.41449257989235,3.571241486202709,3.452142567619825,57.74257491972996,0.03431930016733717
ZTFI-0042,IN9909133412,Government of India,Government,SOV,INR,100,0.0568,2,Fixed,2023-04-01,2060-03-22,2024-10-31,35.3895,37,0.065,88.7292,0.9789,89.3965,14.5069,14.0503,324.6857,0.1247,14.0503,324.6857,0,0,-4,20Y+,50000,44364.6,44364.6,0.001384,False,,False,False,IN10YT,6.5935,-5.8732,13.9072,-11.0263,30.6953,-19.1716,88.72922518624239,14.506887720163173,14.050254450521233,1298.742633048882,0.12466681910643028
ZTFI-0043,IN4471349361,Government of India,Government,SOV,INR,100,0.0655,2,Fixed,2015-04-04,2026-04-01,2024-10-31,1.4155,11,0.0737,99.2232,0.0977,100.5211,0.9841,0.9491,1.3657,0.0094,0.9491,1.3657,0,0,4,1-2Y,5000,4961.16,4961.16,0.000155,False,,False,False,IN10YT,0.4726,-0.4692,0.9485,-0.935,1.9106,-1.8564,99.22319673896453,0.9840833318460847,0.9491086770951291,5.462651390087009,0.009417359699406836
ZTFI-0044,IN1746488771,Government of India,Government,SOV,INR,100,0.067,2,Fixed,2013-09-09,2042-09-02,2024-10-31,17.8371,29,0.0713,95.7389,0.153,97.3501,10.3965,10.0386,141.7319,0.0961,10.0386,141.7319,0,0,-5,15-20Y,5000,4786.94,4786.94,0.000149,False,,False,False,IN10YT,4.975,-4.6358,10.2893,-8.9324,21.9355,-16.5078,95.73894202343541,10.396494700157506,10.038617969543289,566.9275995134556,0.09610866637815219
ZTFI-0045,IN4902787429,Government of India,Government,SOV,INR,100,0.0624,2,Fixed,2010-04-17,2043-04-09,2024-10-31,18.4367,33,0.0699,92.3856,0.52,93.431,10.76,10.3966,151.5671,0.096,10.3966,151.5671,0,0,0,15-20Y,50000,46192.8,46192.8,0.001441,False,,False,False,IN10YT,4.9775,-4.6274,10.3051,-8.9048,22.0104,-16.4094,92.38559253473956,10.760023088364836,10.3966598273973,606.2683313680676,0.09605015785362227
ZTFI-0046,IN6746807154,Government of India,Government,SOV,INR,100,0.0592,2,Fixed,2011-10-20,2038-10-13,2024-10-31,13.9493,27,0.0737,87.7314,0.9733,88.5344,9.1719,8.8459,103.2946,0.0776,8.8459,103.2946,0,0,8,10-15Y,5000,4386.57,4386.57,0.000137,False,,False,False,IN10YT,3.9936,-3.767,8.2137,-7.3075,17.3337,-13.7088,87.7314167231072,9.171918662277706,8.845945568093462,413.17853890056864,0.07760673369443308
ZTFI-0047,IN3859770348,Government of India,Government,SOV,INR,100,0.0537,2,Fixed,2017-12-26,2037-12-21,2024-10-31,13.1389,20,0.0723,84.4923,0.0388,85.3381,9.1663,8.8465,101.3285,0.0747,8.8465,101.3285,0,0,2,10-15Y,5000,4224.61,4224.61,0.000132,False,,False,False,IN10YT,3.8443,-3.6303,7.9027,-7.0465,16.6615,-13.2369,84.49233734523816,9.166287927751238,8.846487407953711,405.3139122846438,0.07474603983932264
ZTFI-0048,IN2480861317,Government of India,Government,SOV,INR,100,0.077,2,Fixed,2019-05-10,2030-05-07,2024-10-31,5.514,11,0.0725,102.0116,1.3579,102.8114,4.5965,4.4357,24.0883,0.0452,4.4357,24.0883,0,0,10,5-7Y,100000,102011.6,102011.6,0.003182,False,,False,False,IN10YT,2.2932,-2.2317,4.6478,-4.4021,9.5413,-8.5584,102.01158200368357,4.596538393730486,4.435742720125922,96.3531550626063,0.04524971322413679
ZTFI-0049,IN3782639821,Government of India,Government,SOV,INR,100,0.0579,2,Fixed,2019-05-30,2047-05-23,2024-10-31,22.5572,28,0.0733,83.1493,1.1877,83.5587,11.9011,11.4803,196.3436,0.0955,11.4803,196.3436,0,0,4,20Y+,20000,16629.86,16629.86,0.000519,False,,False,False,IN10YT,4.977,-4.5688,10.3621,-8.7295,22.3567,-15.8264,83.14926810973098,11.90108801470637,11.48033378161035,785.3743215850548,0.09545813515963207
ZTFI-0050,IN9727875588,Government of India,Government,SOV,INR,100,0.0608,2,Fixed,2011-09-26,2033-09-20,2024-10-31,8.8871,22,0.0753,91.0169,0.8691,91.3719,6.6623,6.4206,51.0209,0.0584,6.4206,51.0209,0,0,8,7-10Y,10000,9101.69,9101.69,0.000284,False,,False,False,IN10YT,2.98,-2.8639,6.076,-5.6116,12.6164,-10.7589,91.01694266216333,6.662280050457926,6.420546475649714,204.0837307206361,0.05843785104339649
ZTFI-0051,IN5766270289,Government of India,Government,SOV,INR,100,0.0595,2,Fixed,2018-03-21,2026-03-19,2024-10-31,1.3799,8,0.0696,99.0404,1.3543,99.0632,0.9855,0.9524,1.3737,0.0094,0.9524,1.3737,0,0,-1,1-2Y,100000,99040.4,99040.4,0.003089,False,,False,False,IN10YT,0.4733,-0.4699,0.9501,-0.9365,1.9137,-1.8593,99.0403778429479,0.9854859616648308,0.9523443773336209,5.494795508756287,0.009432054696772876
ZTFI-0052,IN2174596158,Government of India,Government,SOV,INR,100,0.0608,2,Fixed,2015-04-03,2037-03-28,2024-10-31,12.4052,22,0.0743,89.4013,1.326,89.4559,8.4692,8.1658,86.4589,0.073,8.1658,86.4589,0,0,-3,10-15Y,50000,44700.65,44700.65,0.001394,False,,False,False,IN10YT,3.7468,-3.5535,7.6868,-6.9139,16.1466,-13.0548,89.4013124239429,8.469206506925342,8.165845352095012,345.83578500666187,0.07300372915282481
ZTFI-0053,IN4316117240,Government of India,Government,SOV,INR,100,0.0513,2,Fixed,2023-03-01,2028-02-28,2024-10-31,3.3265,5,0.0689,95.3024,0.3132,95.8309,2.8133,2.7196,9.0027,0.0259,2.7196,9.0027,0,0,0,3-5Y,10000,9530.24,9530.24,0.000297,False,,False,False,IN10YT,1.3066,-1.2852,2.6347,-2.5489,5.3553,-5.0121,95.30239001527312,2.8133160798156167,2.7196249986133854,36.01077636948642,0.025918676231313945
ZTFI-0054,IN2196937923,Government of India,Government,SOV,INR,100,0.0631,2,Fixed,2017-09-04,2035-08-31,2024-10-31,10.8309,18,0.072,93.5206,0.7339,93.9743,7.7283,7.4597,70.7442,0.0698,7.4597,70.7442,0,0,0,10-15Y,500000,467603.0,467603.0,0.014586,False,,False,False,IN10YT,3.5709,-3.4055,7.3072,-6.6456,15.2759,-12.6295,93.52058587367196,7.728343090735585,7.459790628123152,282.97661767041643,0.06976439900370045
ZTFI-0055,IN7594647436,Government of India,Government,SOV,INR,100,0.0743,2,Fixed,2022-09-04,2030-09-02,2024-10-31,5.8371,8,0.071,101.4812,0.5496,102.7801,4.6213,4.4629,24.3035,0.0453,4.4629,24.3035,0,0,-5,5-7Y,100000,101481.2,101481.2,0.003165,False,,False,False,IN10YT,2.2953,-2.2337,4.6523,-4.4057,9.5513,-8.5647,101.4812053081141,4.621251476258766,4.462821319419377,97.21395568202618,0.04528924865694264
